destination,Country,Continent,type,cost,Best Season,rating,Annual Visitors (M),UNESCO Site,activities,duration,total_cost,type_encoded,continent_encoded
Hidden Plaza,Canada,North America,Nature,164.81,Autumn,4.6,6.46,No,Shopping,9,1483.29,4,3
Ancient Beach,Germany,Europe,Historical,118.13,Winter,4.6,4.85,Yes,"Food Tour,Beach Volley,Sightseeing",14,1653.82,3,2
Mystic Valley,Germany,Europe,Religious,114.27,Autumn,4.4,5.12,No,"Museum,Surfing,Skiing",4,457.08,5,2
Grand Park,Germany,Europe,Religious,103.17,Autumn,4.3,2.76,No,"Food Tour,Beach Volley,Shopping",14,1444.38,5,2
Lush Plaza,USA,North America,Adventure,146.52,Autumn,4.8,4.93,No,"Surfing,Food Tour,Sightseeing",9,1318.68,0,3
Golden Park,Japan,Asia,City,119.66,Winter,4.6,5.13,No,Sightseeing,4,478.64,2,1
Crystal Plaza,Vietnam,Asia,Religious,246.96,Winter,4.1,10.0,No,"Trekking,Sightseeing,Beach Volley",10,2469.6,5,1
Golden Park,New Zealand,Oceania,Nature,123.69,Spring,4.9,8.36,Yes,Shopping,8,989.52,4,4
Lush Valley,Vietnam,Asia,Religious,120.03,Spring,4.2,5.35,Yes,"Trekking,Museum",13,1560.39,5,1
Ancient Forest,Germany,Europe,Religious,188.41,Spring,4.6,5.34,No,"Museum,Trekking,Surfing",5,942.05,5,2
Ancient Forest,Egypt,Africa,Beach,117.46,Winter,4.5,0.83,No,"Skiing,Food Tour",9,1057.1399999999999,1,0
Sacred Beach,South Africa,Africa,Historical,45.79,Summer,5.0,8.47,No,Skiing,3,137.37,3,0
Hidden Plaza,Vietnam,Asia,Adventure,72.34,Autumn,4.4,0.97,No,"Trekking,Surfing,Sightseeing",10,723.4000000000001,0,1
Crystal Park,Japan,Asia,Historical,121.51,Spring,4.6,6.28,Yes,Surfing,12,1458.1200000000001,3,1
Golden Canyon,Brazil,South America,Beach,109.27,Autumn,4.3,4.11,No,"Trekking,Surfing,Beach Volley",6,655.62,1,5
Mystic Forest,Egypt,Africa,Beach,127.5,Spring,4.9,7.63,No,"Sightseeing,Surfing",7,892.5,1,0
Crystal Canyon,Spain,Europe,Historical,166.25,Spring,4.4,2.75,Yes,Sightseeing,9,1496.25,3,2
Mystic Pagoda,Brazil,South America,Beach,184.28,Summer,5.0,9.33,No,Trekking,4,737.12,1,5
Serene Pagoda,Japan,Asia,City,118.0,Spring,4.5,0.68,No,Shopping,6,708.0,2,1
Ancient Ruins,USA,North America,Nature,154.9,Summer,4.9,7.86,No,"Sightseeing,Surfing",12,1858.8000000000002,4,3
Grand Plaza,Egypt,Africa,City,114.86,Autumn,4.1,0.79,No,"Museum,Surfing,Beach Volley",6,689.16,2,0
Mystic Temple,Mexico,North America,Religious,154.59,Autumn,4.6,9.37,No,"Sightseeing,Surfing",13,2009.67,5,3
Crystal Valley,South Africa,Africa,Religious,184.75,Spring,4.1,6.95,Yes,Museum,10,1847.5,5,0
Crystal Pagoda,Italy,Europe,City,193.46,Autumn,4.4,9.5,No,"Sightseeing,Skiing,Museum",10,1934.6000000000001,2,2
Grand Pagoda,New Zealand,Oceania,City,166.57,Autumn,4.7,3.14,No,"Shopping,Food Tour,Beach Volley",14,2331.98,2,4
Lush Plaza,Brazil,South America,City,193.8,Autumn,4.9,9.91,Yes,Beach Volley,12,2325.6000000000004,2,5
Sacred Falls,Kenya,Africa,Historical,95.58,Summer,4.1,1.25,Yes,"Sightseeing,Shopping",5,477.9,3,0
Crystal Valley,Thailand,Asia,Nature,68.03,Spring,4.4,3.76,No,Skiing,3,204.09,4,1
Serene Park,Brazil,South America,Religious,126.58,Autumn,4.2,9.32,No,Sightseeing,5,632.9,5,5
Mystic Falls,Canada,North America,Nature,166.2,Spring,4.2,1.93,No,"Surfing,Trekking,Beach Volley",4,664.8,4,3
Golden Plaza,New Zealand,Oceania,Beach,147.24,Summer,4.6,5.26,No,"Beach Volley,Museum",9,1325.16,1,4
Hidden Temple,Greece,Europe,Nature,140.66,Summer,4.0,6.79,No,"Museum,Skiing",7,984.62,4,2
Ancient Beach,Argentina,South America,Historical,191.24,Winter,4.7,5.99,Yes,"Food Tour,Museum",14,2677.36,3,5
Ancient Valley,Egypt,Africa,Religious,102.55,Winter,5.0,4.32,No,Shopping,9,922.9499999999999,5,0
Mystic Valley,Spain,Europe,Nature,136.49,Winter,4.7,7.07,No,"Skiing,Food Tour",3,409.47,4,2
Ancient Pagoda,USA,North America,Historical,108.77,Spring,4.3,2.25,No,Surfing,5,543.85,3,3
Ancient Canyon,Brazil,South America,Adventure,108.19,Spring,3.9,8.39,Yes,"Trekking,Shopping,Museum",5,540.95,0,5
Golden Canyon,Italy,Europe,Adventure,167.63,Autumn,4.3,5.55,No,"Sightseeing,Museum,Skiing",5,838.15,0,2
Serene Park,Brazil,South America,City,146.87,Autumn,3.9,3.35,Yes,"Beach Volley,Skiing",8,1174.96,2,5
Sacred Plaza,China,Asia,City,81.58,Autumn,5.0,2.06,Yes,Shopping,3,244.74,2,1
Crystal Valley,Canada,North America,Nature,156.14,Summer,4.2,9.07,No,"Beach Volley,Museum,Skiing",4,624.56,4,3
Crystal Pagoda,Italy,Europe,Beach,213.19,Summer,4.2,6.76,No,Trekking,8,1705.52,1,2
Golden Beach,France,Europe,Adventure,245.47,Winter,4.7,9.03,No,"Beach Volley,Surfing,Skiing",6,1472.82,0,2
Hidden Plaza,Kenya,Africa,Adventure,67.26,Spring,4.2,0.6,Yes,"Shopping,Surfing",3,201.78000000000003,0,0
Grand Valley,South Africa,Africa,Beach,173.34,Autumn,4.7,1.49,No,"Trekking,Sightseeing,Beach Volley",8,1386.72,1,0
Lush Valley,New Zealand,Oceania,City,93.49,Summer,5.0,1.63,No,"Food Tour,Museum",14,1308.86,2,4
Crystal Plaza,South Africa,Africa,Nature,157.45,Spring,4.3,7.52,No,Sightseeing,13,2046.85,4,0
Hidden Valley,Italy,Europe,Religious,153.6,Summer,4.4,5.56,No,"Museum,Skiing,Food Tour",10,1536.0,5,2
Golden Plaza,India,Asia,Historical,62.78,Winter,4.7,9.41,Yes,"Shopping,Skiing",5,313.9,3,1
Ancient Falls,Kenya,Africa,City,54.61,Spring,4.2,0.98,No,"Surfing,Trekking,Museum",11,600.71,2,0
Mystic Beach,Vietnam,Asia,Beach,156.48,Autumn,4.4,4.85,No,"Beach Volley,Museum",6,938.8799999999999,1,1
Ancient Forest,Canada,North America,Beach,177.83,Winter,4.1,2.9,No,Sightseeing,9,1600.47,1,3
Lush Beach,Morocco,Africa,Historical,56.72,Autumn,4.8,8.32,No,Trekking,9,510.48,3,0
Golden Plaza,Italy,Europe,Historical,145.32,Summer,4.9,3.83,No,"Skiing,Trekking,Food Tour",13,1889.1599999999999,3,2
Sacred Ruins,Greece,Europe,City,207.68,Autumn,4.3,3.62,No,"Food Tour,Beach Volley",3,623.04,2,2
Mystic Pagoda,South Africa,Africa,City,74.03,Summer,3.7,8.49,Yes,Surfing,3,222.09,2,0
Golden Temple,Morocco,Africa,Beach,122.22,Autumn,4.1,8.18,No,"Sightseeing,Food Tour,Shopping",12,1466.6399999999999,1,0
Golden Canyon,Morocco,Africa,City,129.43,Summer,4.8,4.86,Yes,"Surfing,Food Tour,Shopping",7,906.01,2,0
Ancient Valley,Greece,Europe,Adventure,170.54,Winter,4.4,1.63,No,"Beach Volley,Sightseeing,Skiing",10,1705.3999999999999,0,2
Serene Plaza,Greece,Europe,Adventure,159.52,Winter,4.6,5.55,Yes,"Trekking,Sightseeing",10,1595.2,0,2
Sacred Ruins,Peru,South America,Religious,148.66,Autumn,4.3,4.37,No,Trekking,7,1040.62,5,5
Hidden Valley,Peru,South America,City,172.68,Summer,4.2,9.73,No,"Food Tour,Museum,Surfing",13,2244.84,2,5
Mystic Falls,Greece,Europe,Historical,236.17,Winter,4.6,1.15,No,Trekking,9,2125.5299999999997,3,2
Golden Ruins,New Zealand,Oceania,City,101.86,Autumn,4.4,6.32,Yes,Trekking,12,1222.32,2,4
Golden Pagoda,Greece,Europe,Religious,158.99,Autumn,4.6,1.23,No,"Beach Volley,Sightseeing",12,1907.88,5,2
Ancient Park,Spain,Europe,Beach,185.73,Summer,3.9,4.33,Yes,"Beach Volley,Museum",11,2043.03,1,2
Serene Ruins,Argentina,South America,Adventure,170.17,Autumn,4.6,6.31,No,"Sightseeing,Beach Volley",8,1361.36,0,5
Mystic Park,Morocco,Africa,Historical,81.42,Autumn,4.3,1.51,No,"Museum,Surfing",12,977.04,3,0
Ancient Canyon,Italy,Europe,Nature,96.54,Winter,4.0,6.92,No,"Shopping,Surfing",7,675.7800000000001,4,2
Serene Valley,Japan,Asia,Adventure,122.22,Summer,4.6,4.25,No,"Skiing,Beach Volley",9,1099.98,0,1
Sacred Forest,Australia,Oceania,Beach,131.15,Spring,4.4,8.36,No,"Beach Volley,Sightseeing,Museum",10,1311.5,1,4
Serene Valley,Mexico,North America,Adventure,145.33,Winter,4.3,2.1,Yes,"Sightseeing,Trekking,Shopping",8,1162.64,0,3
Mystic Beach,Germany,Europe,Religious,157.66,Autumn,4.8,2.7,No,Museum,12,1891.92,5,2
Grand Canyon,Italy,Europe,Religious,237.75,Spring,4.5,9.6,Yes,"Beach Volley,Shopping",9,2139.75,5,2
Golden Forest,Peru,South America,Nature,167.68,Autumn,4.4,9.38,Yes,Shopping,13,2179.84,4,5
Ancient Valley,USA,North America,City,161.26,Summer,4.7,6.48,No,Shopping,8,1290.08,2,3
Hidden Plaza,Mexico,North America,Religious,223.22,Autumn,4.3,5.55,No,Beach Volley,5,1116.1,5,3
Ancient Falls,Canada,North America,Religious,113.35,Spring,5.0,7.45,Yes,"Skiing,Sightseeing,Trekking",11,1246.85,5,3
Serene Plaza,Mexico,North America,Beach,135.07,Winter,4.6,8.41,No,Surfing,11,1485.77,1,3
Golden Plaza,Mexico,North America,Beach,210.03,Autumn,4.5,4.6,No,Food Tour,10,2100.3,1,3
Hidden Ruins,Germany,Europe,City,186.61,Autumn,4.4,2.89,Yes,Sightseeing,7,1306.27,2,2
Crystal Temple,India,Asia,Religious,147.17,Winter,4.9,5.38,No,Shopping,4,588.68,5,1
Golden Canyon,Peru,South America,City,183.65,Summer,4.0,3.59,No,Skiing,3,550.95,2,5
Mystic Falls,Germany,Europe,Beach,145.28,Autumn,4.6,7.42,No,"Skiing,Surfing,Museum",5,726.4,1,2
Mystic Park,Mexico,North America,Historical,215.4,Winter,4.1,8.15,No,Skiing,9,1938.6000000000001,3,3
Sacred Pagoda,New Zealand,Oceania,City,143.52,Summer,4.7,7.94,No,"Trekking,Shopping,Skiing",10,1435.2,2,4
Crystal Beach,Canada,North America,Nature,153.67,Autumn,4.4,6.77,No,"Beach Volley,Shopping",12,1844.04,4,3
Grand Park,Thailand,Asia,Religious,113.52,Winter,4.6,9.42,Yes,"Skiing,Food Tour",9,1021.68,5,1
Golden Plaza,Mexico,North America,Nature,172.18,Winter,4.2,2.62,No,Museum,5,860.9000000000001,4,3
Sacred Beach,Italy,Europe,Beach,172.53,Autumn,3.9,4.46,No,"Sightseeing,Shopping,Trekking",9,1552.77,1,2
Ancient Pagoda,Thailand,Asia,Nature,133.61,Autumn,4.4,4.47,No,Beach Volley,11,1469.71,4,1
Golden Plaza,Vietnam,Asia,City,169.45,Summer,4.6,1.3,No,"Shopping,Surfing",3,508.34999999999997,2,1
Ancient Beach,Canada,North America,City,107.98,Spring,4.4,0.66,Yes,"Surfing,Skiing",12,1295.76,2,3
Lush Park,Vietnam,Asia,Religious,202.44,Spring,5.0,2.05,Yes,"Trekking,Surfing",13,2631.72,5,1
Mystic Plaza,South Africa,Africa,Beach,131.32,Autumn,4.3,8.75,No,"Surfing,Skiing",4,525.28,1,0
Golden Valley,USA,North America,Historical,143.03,Autumn,4.7,0.98,No,Skiing,8,1144.24,3,3
Crystal Plaza,China,Asia,Religious,154.17,Spring,4.3,4.23,No,"Food Tour,Shopping,Beach Volley",8,1233.36,5,1
Ancient Park,Brazil,South America,Religious,153.63,Winter,4.4,0.61,No,Shopping,3,460.89,5,5
Hidden Beach,Peru,South America,Religious,116.17,Summer,4.8,0.88,No,"Beach Volley,Food Tour",10,1161.7,5,5
Golden Falls,Greece,Europe,Adventure,63.44,Spring,4.9,9.75,No,Food Tour,14,888.16,0,2
Serene Ruins,Japan,Asia,City,63.31,Summer,4.6,7.24,No,"Shopping,Skiing,Trekking",3,189.93,2,1
Serene Temple,Peru,South America,City,173.67,Summer,4.4,4.06,No,"Surfing,Beach Volley",12,2084.04,2,5
Grand Canyon,Peru,South America,Historical,118.49,Spring,4.5,4.55,No,"Sightseeing,Shopping",14,1658.86,3,5
Lush Forest,Italy,Europe,Beach,171.61,Spring,4.6,2.63,No,"Beach Volley,Skiing,Food Tour",4,686.44,1,2
Sacred Canyon,Australia,Oceania,Beach,181.78,Autumn,4.3,9.34,No,Food Tour,9,1636.02,1,4
Ancient Temple,India,Asia,Nature,144.47,Spring,4.2,3.71,No,Trekking,10,1444.7,4,1
Mystic Canyon,India,Asia,Beach,183.87,Summer,4.3,0.99,No,Food Tour,9,1654.83,1,1
Mystic Pagoda,Spain,Europe,Beach,30.0,Winter,4.4,3.68,Yes,Surfing,10,300.0,1,2
Sacred Ruins,Germany,Europe,City,183.66,Summer,3.8,2.03,Yes,"Trekking,Beach Volley",8,1469.28,2,2
Golden Canyon,Vietnam,Asia,Historical,216.43,Autumn,4.6,7.72,No,"Shopping,Beach Volley",10,2164.3,3,1
Serene Forest,Canada,North America,Beach,141.4,Summer,4.4,3.05,No,Beach Volley,12,1696.8000000000002,1,3
Hidden Pagoda,Morocco,Africa,Historical,92.28,Autumn,4.0,6.96,No,"Surfing,Sightseeing,Museum",11,1015.08,3,0
Mystic Canyon,South Africa,Africa,Religious,228.39,Autumn,4.2,2.34,No,Skiing,7,1598.73,5,0
Crystal Beach,USA,North America,Historical,84.14,Winter,4.7,8.92,No,Surfing,7,588.98,3,3
Mystic Park,Germany,Europe,Historical,134.37,Spring,4.7,2.68,No,"Surfing,Sightseeing,Skiing",9,1209.33,3,2
Mystic Ruins,USA,North America,Religious,76.66,Spring,4.3,6.89,Yes,"Beach Volley,Shopping,Food Tour",14,1073.24,5,3
Hidden Park,USA,North America,City,175.83,Summer,4.8,8.33,Yes,Shopping,5,879.1500000000001,2,3
Serene Forest,Germany,Europe,Adventure,94.82,Spring,4.4,7.51,No,"Museum,Trekking",6,568.92,0,2
Mystic Falls,Italy,Europe,Religious,220.07,Spring,4.2,3.07,No,Beach Volley,14,3080.98,5,2
Ancient Beach,India,Asia,Nature,194.65,Winter,5.0,8.73,No,"Beach Volley,Trekking,Museum",12,2335.8,4,1
Hidden Ruins,China,Asia,Adventure,135.99,Winter,4.0,6.38,No,Sightseeing,13,1767.8700000000001,0,1
Crystal Pagoda,France,Europe,Religious,73.25,Spring,3.9,3.64,No,"Trekking,Skiing",12,879.0,5,2
Lush Falls,Argentina,South America,Nature,207.23,Winter,4.6,2.41,No,"Sightseeing,Food Tour",14,2901.22,4,5
Mystic Forest,Greece,Europe,Religious,159.26,Autumn,4.6,8.32,No,"Skiing,Shopping",10,1592.6,5,2
Serene Pagoda,Greece,Europe,Historical,223.48,Summer,4.6,0.65,No,"Shopping,Skiing",3,670.4399999999999,3,2
Serene Park,Japan,Asia,Beach,102.38,Spring,4.3,7.77,Yes,Museum,3,307.14,1,1
Ancient Forest,Australia,Oceania,City,179.32,Spring,4.4,1.48,Yes,"Food Tour,Beach Volley,Surfing",8,1434.56,2,4
Grand Temple,India,Asia,Religious,195.02,Summer,4.6,3.58,No,"Trekking,Food Tour",5,975.1,5,1
Hidden Plaza,Vietnam,Asia,Historical,195.08,Summer,5.0,6.23,No,Surfing,12,2340.96,3,1
Hidden Beach,Germany,Europe,Religious,186.78,Autumn,5.0,4.58,No,"Sightseeing,Shopping",14,2614.92,5,2
Lush Forest,Argentina,South America,Historical,195.9,Spring,4.3,2.65,No,"Skiing,Shopping",11,2154.9,3,5
Grand Pagoda,Spain,Europe,City,97.49,Autumn,4.7,6.44,No,"Sightseeing,Museum,Surfing",7,682.43,2,2
Grand Ruins,Argentina,South America,City,109.59,Autumn,4.7,1.07,No,Surfing,3,328.77,2,5
Crystal Pagoda,South Africa,Africa,Nature,164.19,Summer,4.2,8.57,Yes,Trekking,8,1313.52,4,0
Grand Valley,Australia,Oceania,Historical,135.69,Summer,3.9,9.32,No,"Food Tour,Museum",9,1221.21,3,4
Sacred Pagoda,France,Europe,Adventure,129.1,Spring,3.9,0.63,No,"Food Tour,Beach Volley",13,1678.3,0,2
Grand Canyon,South Africa,Africa,City,140.72,Winter,4.4,0.76,Yes,"Trekking,Museum",7,985.04,2,0
Crystal Park,New Zealand,Oceania,Adventure,96.46,Summer,5.0,5.71,No,Skiing,12,1157.52,0,4
Golden Ruins,Argentina,South America,Adventure,122.71,Autumn,4.2,6.81,Yes,"Shopping,Museum,Food Tour",3,368.13,0,5
Crystal Plaza,Brazil,South America,Historical,159.24,Autumn,4.8,5.86,Yes,"Beach Volley,Surfing,Skiing",11,1751.64,3,5
Crystal Pagoda,USA,North America,Adventure,111.35,Winter,4.5,1.35,Yes,"Trekking,Surfing,Skiing",3,334.04999999999995,0,3
Grand Canyon,Spain,Europe,Nature,66.57,Spring,4.8,9.21,No,"Surfing,Sightseeing",14,931.9799999999999,4,2
Ancient Falls,Morocco,Africa,Religious,96.62,Autumn,4.4,7.29,No,"Sightseeing,Surfing",14,1352.68,5,0
Mystic Park,Australia,Oceania,Religious,161.45,Summer,3.9,7.13,No,"Food Tour,Trekking",9,1453.05,5,4
Mystic Falls,Italy,Europe,City,155.56,Spring,4.5,6.93,No,Trekking,7,1088.92,2,2
Hidden Beach,USA,North America,Beach,168.38,Spring,4.5,3.31,No,"Sightseeing,Beach Volley,Surfing",11,1852.1799999999998,1,3
Mystic Valley,Argentina,South America,Historical,182.63,Summer,4.2,6.52,No,"Surfing,Museum",8,1461.04,3,5
Crystal Canyon,Egypt,Africa,City,138.09,Spring,4.5,7.42,No,"Sightseeing,Skiing",10,1380.9,2,0
Hidden Ruins,Kenya,Africa,Religious,208.25,Spring,4.1,5.79,Yes,"Beach Volley,Skiing",3,624.75,5,0
Lush Plaza,France,Europe,City,106.08,Spring,4.4,1.4,No,Sightseeing,11,1166.8799999999999,2,2
Sacred Temple,Peru,South America,City,111.99,Summer,4.6,4.32,Yes,Museum,14,1567.86,2,5
Ancient Valley,Canada,North America,Nature,194.07,Summer,4.7,1.62,No,Surfing,8,1552.56,4,3
Hidden Ruins,Germany,Europe,Beach,85.12,Autumn,4.3,0.62,No,"Shopping,Sightseeing",9,766.08,1,2
Crystal Beach,India,Asia,Nature,208.51,Spring,4.5,9.6,Yes,"Beach Volley,Museum",9,1876.59,4,1
Mystic Temple,Greece,Europe,City,180.42,Winter,5.0,1.31,No,"Museum,Trekking",14,2525.8799999999997,2,2
Ancient Plaza,Argentina,South America,City,42.38,Winter,4.8,6.27,Yes,"Food Tour,Sightseeing,Shopping",10,423.8,2,5
Grand Beach,Greece,Europe,Beach,80.55,Summer,4.3,1.4,No,"Shopping,Beach Volley,Museum",12,966.5999999999999,1,2
Sacred Park,Canada,North America,Beach,118.61,Summer,4.4,2.18,No,Shopping,14,1660.54,1,3
Golden Valley,Italy,Europe,Adventure,148.42,Summer,4.6,5.55,No,"Surfing,Shopping",8,1187.36,0,2
Ancient Park,Argentina,South America,Religious,213.85,Summer,4.6,3.61,No,"Surfing,Shopping,Sightseeing",11,2352.35,5,5
Hidden Beach,Canada,North America,Nature,109.11,Winter,4.0,6.89,Yes,Museum,12,1309.32,4,3
Hidden Falls,Spain,Europe,City,92.33,Spring,4.8,1.77,No,"Surfing,Food Tour",12,1107.96,2,2
Ancient Valley,USA,North America,Nature,104.15,Winter,4.6,6.0,No,Museum,5,520.75,4,3
Crystal Ruins,South Africa,Africa,Beach,205.04,Winter,4.8,7.66,No,"Beach Volley,Surfing",12,2460.48,1,0
Sacred Pagoda,New Zealand,Oceania,Beach,149.99,Summer,4.8,7.44,No,Beach Volley,10,1499.9,1,4
Ancient Ruins,Japan,Asia,Religious,90.91,Winter,4.6,0.74,No,Surfing,13,1181.83,5,1
Serene Plaza,Japan,Asia,Adventure,127.02,Autumn,4.0,6.36,Yes,"Trekking,Museum",10,1270.2,0,1
Sacred Ruins,Greece,Europe,Historical,131.93,Summer,4.6,1.69,No,"Shopping,Trekking",3,395.79,3,2
Golden Valley,Vietnam,Asia,Historical,277.73,Spring,4.3,5.64,No,"Shopping,Sightseeing,Trekking",11,3055.03,3,1
Lush Park,Peru,South America,Adventure,159.81,Summer,4.2,5.67,No,"Skiing,Surfing,Museum",14,2237.34,0,5
Grand Canyon,Argentina,South America,Religious,182.87,Autumn,4.1,8.29,Yes,Trekking,9,1645.83,5,5
Lush Falls,Thailand,Asia,City,149.88,Summer,4.3,7.05,No,"Beach Volley,Surfing,Trekking",11,1648.6799999999998,2,1
Grand Pagoda,USA,North America,Beach,108.11,Autumn,4.2,6.33,No,"Trekking,Food Tour",10,1081.1,1,3
Grand Plaza,Australia,Oceania,Religious,229.49,Summer,4.7,3.97,Yes,"Surfing,Skiing",9,2065.41,5,4
Serene Falls,South Africa,Africa,Beach,124.04,Winter,5.0,2.3,Yes,"Shopping,Sightseeing,Trekking",14,1736.5600000000002,1,0
Grand Pagoda,Canada,North America,Nature,175.14,Autumn,5.0,3.91,Yes,"Surfing,Food Tour,Trekking",12,2101.68,4,3
Grand Falls,Brazil,South America,Religious,131.29,Spring,4.5,7.78,No,"Skiing,Museum",9,1181.61,5,5
Sacred Canyon,Vietnam,Asia,Religious,98.68,Autumn,4.9,6.92,No,Food Tour,7,690.76,5,1
Lush Pagoda,Germany,Europe,Adventure,221.29,Summer,4.3,4.81,Yes,"Beach Volley,Museum,Trekking",4,885.16,0,2
Golden Valley,Mexico,North America,Religious,183.95,Winter,4.5,2.88,Yes,"Sightseeing,Surfing",3,551.8499999999999,5,3
Grand Park,Vietnam,Asia,Religious,160.9,Summer,4.2,9.71,No,"Food Tour,Surfing",11,1769.9,5,1
Ancient Valley,Kenya,Africa,Historical,120.31,Winter,4.5,3.72,No,Beach Volley,14,1684.3400000000001,3,0
Serene Canyon,Kenya,Africa,Nature,87.47,Autumn,4.5,6.75,No,"Museum,Skiing,Food Tour",7,612.29,4,0
Sacred Falls,Kenya,Africa,Adventure,92.33,Autumn,4.0,1.59,No,Skiing,4,369.32,0,0
Golden Plaza,New Zealand,Oceania,Nature,139.33,Summer,4.8,4.18,No,Shopping,12,1671.96,4,4
Grand Pagoda,Greece,Europe,Adventure,114.55,Autumn,5.0,6.66,No,Museum,5,572.75,0,2
Crystal Ruins,India,Asia,Beach,158.63,Summer,4.7,9.57,Yes,"Shopping,Skiing,Food Tour",13,2062.19,1,1
Grand Pagoda,Vietnam,Asia,Adventure,146.13,Winter,4.1,6.22,No,Trekking,13,1899.69,0,1
Sacred Park,Greece,Europe,Nature,60.16,Autumn,4.9,3.71,No,"Sightseeing,Food Tour",9,541.4399999999999,4,2
Grand Canyon,Vietnam,Asia,Adventure,136.01,Winter,4.2,2.05,No,"Beach Volley,Skiing",3,408.03,0,1
Hidden Canyon,Vietnam,Asia,Nature,107.98,Autumn,4.7,1.06,No,"Shopping,Skiing,Museum",7,755.86,4,1
Mystic Falls,Peru,South America,Beach,258.25,Summer,4.9,8.78,No,"Shopping,Food Tour",11,2840.75,1,5
Hidden Plaza,Japan,Asia,Religious,57.7,Summer,4.8,8.13,No,Beach Volley,5,288.5,5,1
Grand Falls,Greece,Europe,Adventure,109.19,Spring,4.5,5.88,No,"Surfing,Shopping",9,982.71,0,2
Crystal Park,Italy,Europe,Religious,139.79,Winter,4.7,3.32,Yes,Sightseeing,7,978.53,5,2
Ancient Falls,Spain,Europe,Religious,146.3,Summer,4.5,4.61,No,"Skiing,Shopping,Surfing",14,2048.2000000000003,5,2
Grand Park,USA,North America,Beach,112.18,Spring,4.6,9.43,Yes,"Food Tour,Surfing",10,1121.8000000000002,1,3
Lush Park,Australia,Oceania,Adventure,175.28,Spring,4.9,8.37,Yes,"Food Tour,Skiing",6,1051.68,0,4
Hidden Park,France,Europe,Historical,147.71,Autumn,4.3,6.49,No,"Food Tour,Beach Volley",14,2067.94,3,2
Serene Falls,Greece,Europe,Adventure,174.57,Summer,4.7,3.13,No,"Shopping,Trekking,Museum",3,523.71,0,2
Crystal Falls,Vietnam,Asia,Nature,177.98,Spring,4.3,0.88,Yes,"Surfing,Food Tour,Museum",11,1957.78,4,1
Ancient Forest,Thailand,Asia,City,171.8,Autumn,3.7,6.02,No,Surfing,10,1718.0,2,1
Grand Temple,Canada,North America,Historical,159.34,Spring,4.6,5.07,Yes,"Beach Volley,Skiing",7,1115.38,3,3
Ancient Park,Egypt,Africa,Religious,116.25,Summer,4.4,4.68,No,"Surfing,Trekking,Sightseeing",13,1511.25,5,0
Sacred Pagoda,Peru,South America,Historical,86.77,Summer,5.0,1.02,No,Beach Volley,10,867.6999999999999,3,5
Crystal Forest,Thailand,Asia,City,192.04,Spring,4.6,4.14,No,"Beach Volley,Shopping",10,1920.3999999999999,2,1
Grand Canyon,Argentina,South America,Adventure,135.33,Spring,4.1,0.96,Yes,"Skiing,Food Tour",8,1082.64,0,5
Sacred Ruins,Egypt,Africa,Nature,171.29,Autumn,4.6,6.09,No,Sightseeing,12,2055.48,4,0
Serene Pagoda,France,Europe,Religious,207.07,Winter,4.3,5.77,No,Trekking,13,2691.91,5,2
Golden Forest,Brazil,South America,Religious,172.21,Autumn,4.8,7.95,No,"Sightseeing,Trekking",14,2410.94,5,5
Mystic Canyon,Canada,North America,Historical,73.92,Autumn,5.0,9.6,Yes,"Sightseeing,Surfing",10,739.2,3,3
Ancient Temple,Thailand,Asia,Adventure,263.62,Spring,4.8,2.59,No,Sightseeing,8,2108.96,0,1
Crystal Park,Thailand,Asia,Historical,205.15,Spring,5.0,2.26,No,"Shopping,Sightseeing,Skiing",5,1025.75,3,1
Serene Beach,Mexico,North America,Adventure,157.28,Winter,4.3,7.76,Yes,Sightseeing,10,1572.8,0,3
Grand Plaza,Mexico,North America,Historical,72.78,Autumn,4.5,6.83,No,Surfing,10,727.8,3,3
Mystic Beach,Morocco,Africa,Beach,144.42,Winter,4.3,2.05,Yes,Skiing,3,433.26,1,0
Golden Pagoda,Brazil,South America,Historical,124.14,Winter,4.3,4.17,No,Beach Volley,5,620.7,3,5
Crystal Valley,France,Europe,Beach,143.62,Summer,4.3,5.36,No,Food Tour,4,574.48,1,2
Mystic Temple,Thailand,Asia,Historical,31.18,Summer,4.4,8.47,No,"Shopping,Museum,Food Tour",3,93.53999999999999,3,1
Sacred Canyon,Greece,Europe,Nature,150.94,Summer,4.1,1.09,No,"Skiing,Trekking",6,905.64,4,2
Hidden Falls,Vietnam,Asia,Beach,156.33,Winter,4.3,5.88,No,"Surfing,Beach Volley,Museum",10,1563.3000000000002,1,1
Serene Plaza,South Africa,Africa,Religious,157.83,Autumn,4.8,9.62,No,Museum,4,631.32,5,0
Crystal Pagoda,Canada,North America,City,255.18,Summer,4.7,0.93,Yes,Shopping,8,2041.44,2,3
Hidden Valley,Thailand,Asia,Historical,127.27,Summer,4.4,2.11,No,Sightseeing,14,1781.78,3,1
Serene Canyon,Peru,South America,Nature,68.12,Autumn,4.5,3.9,No,"Shopping,Sightseeing",11,749.32,4,5
Crystal Beach,Germany,Europe,Historical,198.89,Autumn,3.9,1.23,No,Museum,3,596.67,3,2
Golden Temple,Morocco,Africa,Nature,94.32,Summer,5.0,5.15,No,Trekking,13,1226.1599999999999,4,0
